id,correct_option,notes
practice_1,2,Rendered OpenStreetMap-style street map.
practice_2,1,Powai Lake is the large labeled water body on the right.
practice_3,1,Water bodies are shown in blue.
practice_4,1,Indian Institute of Technology Bombay is labeled on the right.
practice_5,1,A rail/metro-style corridor crosses the central map area.
practice_6,1,JVLR appears near the center-left.
practice_7,1,The map shows dense urban areas with lakes and green zones.
practice_8,1,Airport Road / terminal area is visible near the lower-left.
practice_9,1,The long central corridor mostly runs left-right.
practice_10,1,Red cross symbols mark medical/hospital locations.
practice_11,1,Powai Lake is clearly labeled.
practice_12,1,Saki Naka appears near the bottom-center.
practice_13,1,Parks and forested areas are green.
practice_14,1,There is no clear coastal beach shoreline in the image.
practice_15,1,The upper-left has green/park-like areas and buildings.
